id	atu_id	alternatives
1	1	[['fox', 'hare', 'rabbit', 'coyote', 'jackal'], ['fish'], ['wolf', 'bear', 'fox', 'coyote', 'hyena'], ['rabbit', 'fox'], ['fox', 'wolf']]
4	2	[['bear', 'wolf'], ['men','dog']]
5	2A	[[], ['fox', 'jackal', 'wolf'], ['men']]
6	2B	[]
8	2D	[['wolf', 'bear'], []]
9	3	[[], [], ['wolf', 'bear']]
10	3*	[['bear', 'wolf'], ['wolf', 'bear'], ['chicken', 'lamb'], []]
11	4	[[], ['wolf', 'bear'], [], []]
12	5	[[], ['wolf', 'bear', 'dog', 'tiger'], ['fox', 'heron', 'turtle'], [], []]
13	6	[['fox', 'jackal', 'wolf'], ['chicken', 'crow', 'bird', 'hyena', 'sheep']]
14	6*	[]
15	7	[[], ['bear', 'wolf']]
16	8	[[], ['bear', 'wolf'], [], ['fox', 'jackal', 'man', 'rabbit', 'turtle'], ['bear', 'wolf', 'lion', 'goat', 'possum','ogre']]
17	8*	[['reindeer', 'horse']]
18	9	[['fox', 'jackal', 'monkey'], ['bear', 'wolf', 'hedgehog', 'crab', 'bird']]
20	10***	[[], ['bear', 'wolf', 'man', 'devil']]
21	15	[[], ['fox', 'cat', 'jackal'], ['wolf', 'bear', 'mouse'], [], [], []]
22	15*	[]
25	20A	[[], [], [], []]
26	20C	[['chicken', 'cat', 'mouse'], [], [], [], [], ['rooster'], ['goose', 'hare', 'dog', 'bear', 'wolf', 'fox']]
27	20D*	[[], [], ['chicken', 'duck', 'goose', 'magpie', 'sparrow'], ['rooster', 'partridge', 'lark'], []]
28	21	[['wolf', 'bear', 'hog', 'tiger'], [], []]
30	23*	[['fox', 'man'], ['wolf', 'bear'], ['wolf', 'bear']]
31	30	[['fox', 'hedgehog', 'pig', 'hare'], ['wolf', 'lion', 'jackal'], [], []]
32	31	[[], ['wolf', 'goat', 'bear']]
33	32	[['fox', 'hare', 'hedgehog'], [], ['wolf', 'jackal']]
34	33	[['fox'], []]
37	34	[['wolf', 'fox', 'hyena', 'monkey'], [], ['sheep'], [], []]
38	34A	[[], [], []]
40	34C	[[]]
41	35A*	[]
42	35B*	[]
43	36	[[], ['fox', 'hare'], ['bear', 'wolf', 'fox', 'lioness']]
44	37	[[], ['hare', 'wolf', 'ox', 'fox'], ['fox', 'hyena'], [], []]
46	38	[['man', 'fox'], ['bear', 'tiger'], []]
48	40A*	[[], [], [], []]
50	41	[['fox', 'cat', 'jackal', 'hedgehog'], ['wolf', 'polecat', 'hyena', 'antelope'], [], []]
52	43	[['fox', 'wolf', 'bear'], ['hare', 'wolf', 'fox', 'bear', 'sheep', 'goat'], []]
53	44	[[], ['fox', 'hedgehog', 'sheep'], [], [], [], []]
55	47A	[['fox', 'bear', 'horse', 'hare'], ['fox', 'wolf', 'bear', 'monkey'], ['horse', 'donkey', 'dog'], [], [], []]
56	47B	[['wolf', 'lion'], ['horse', 'mule', 'donkey', 'foal'], [], [], ['fox', 'jackal'], ['donkey', 'horse', 'camel']]
57	47D	[['wolf', 'bear'], ['dog', 'jackal', 'fox'], ['cat', 'hare'], []]
59	48*	[[], ['monkey', 'bear', 'siren'], [], ['wolf', 'bear']]
60	49	[['bear', 'hyena']]
61	49A	[['monkey', 'hare', 'fox', 'deer'], ['tiger', 'bear', 'lion', 'coyote'], [], [], []]
62	50	[['lion', 'bear', 'tiger'], ['fox', 'jackal'], ['wolf', 'lynx','coyote', 'hyena'], []]
63	50A	[[]]
64	50B	[]
65	50C	[]
66	51	[['lion', 'tiger'], ['wolf', 'donkey', 'panther', 'dog'], ['fox', 'jackal'], []]
67	51A	[[], ['lion', 'wolf'], [], []]
68	51***	[[], ['fox', 'monkey', 'cat'], []]
69	52	[['lion', 'tiger', 'wolf'], ['donkey', 'deer', 'ram', 'camel'], ['fox', 'jackal', 'hedgehog'], [], [], [], []]
70	53	[[], []]
71	53*	[[], ['fox', 'lion'], []]
72	55	[[], [], [], [], ['mouse', 'snake', 'crab', 'swallow', 'raven'], []]
73	56	[]
74	56A	[[], ['fox', 'jackal'], [], ['bird', 'magpie', 'woodpecker', 'dove', 'thrush', 'nightingale'], [], ['bird', 'crow', 'magpie']]
75	56B	[['fox', 'jackal'], [], ['fox', 'jackal'], ['bird', 'magpie', 'woodpecker', 'dove'], ['crocodile', 'wolf', 'leopard', 'hyena'], [], ['dog', 'wolf'], ['fox']]
77	56D	[['fox', 'jackal'], ['bird', 'sparrow', 'duck', 'heron', 'flamingo'], []]
78	56A*	[['fox', 'cat'], ['bird', 'crow']]
82	57	[['raven', 'crow'], []]
83	58	[['rabbit', 'jackal'], [], ['crocodile', 'camel'], [], ['monkey', 'fox']]
84	59	[['fox', 'cat', 'bear', 'jackal'], [], []]
85	59*	[['jackal', 'cat', 'fox'], ['lion', 'tiger', 'lion', 'bull', 'eagle', 'hog'], []]
86	60	[['fox', 'jackal', 'wolf', 'cat'], ['crane', 'stork', 'woodpecker', 'heron', 'crow', 'snipe'], [], []]
87	61	[['bird', 'rooster', 'partridge'], [], []]
89	61B	[[], ['man', 'chicken'], [], [], []]
90	62	[['fox', 'jackal'], ['rooster', 'dove', 'titmouse', 'swallow', 'fish'], []]
91	62A	[['sheep', 'goat', 'shepherd'], []]
92	62*	[]
93	63	[['fox', 'jackal'], []]
95	65	[[], [], [], []]
96	65*	[[], []]
97	66A	[[], ['jackal', 'monkey'], [], []]
98	66B	[['jackal', 'fox', 'rabbit'], [], ['fox', 'crocodile'], [], []]
100	66A*	[]
101	67	[[]]
102	67**	[]
103	67A*	[[], ['fox', 'antelope'], [], ['dog', 'chicken', 'leopard'], []]
104	68	[['jackal', 'gopher'], []]
105	68A	[[]]
107	68*	[[], ['fox'], []]
109	70	[[], ['frog', 'duck', 'fish']]
110	71	[['hare', 'fox', 'sparrow']]
111	72	[['fox', 'tiger', 'jaguar', 'alligator', 'wolf', 'hyena', 'elephant'], ['rabbit', 'hare', 'fox', 'jackal', 'tortoise'], []]
112	72*	[[], []]
113	72B*	[[], ['fox', 'hare'], [], []]
115	72D*	[[]]
116	73	[['rabbit', 'fox'], []]
117	74C*	[['rabbit', 'monkey'], [], [], ['wolf', 'coyote', 'crab'], [], []]
119	75	[[], ['lion', 'tiger', 'bear', 'elephant'], ['mouse', 'squirrel', 'rat'], [], [], ['mouse', 'rat'], []]
120	75A	[[], ['lion', 'bear'], ['worm', 'beetle']]
121	75*	[[], ['wolf', 'tiger'], []]
122	76	[['crane', 'stork', 'woodpecker'], ['wolf', 'lion']]
123	77	[['lion', 'hunter', 'dog']]
124	77*	[[]]
125	77**	[[], []]
126	78	[[], ['tiger', 'leopard', 'wolf'], ['human', 'donkey', 'monkey', 'goat'], ['fox', 'wolf']]
127	78A	[[], ['rabbit', 'monkey', 'fox'], ['tiger', 'fox', 'coyote', 'giant'], [], [], []]
128	80	[['hedgehog', 'fox', 'camel'], ['badger', 'mole','snake', 'hare', 'man'], [], []]
129	80A*	[[], ['bear', 'donkey', 'camel', 'dove', 'badger', 'crane'], ['wolf', 'bear', 'camel']]
130	81	[['hare', 'dog', 'lark', 'grouse']]
131	85	[[], ['mouse', 'chicken']]
132	87A*	[[], ['pig','wolf'], [], []]
133	88*	[[]]
134	90	[[], ['elk', 'ox', 'stag']]
135	91	[['monkey', 'cat'], ['monkey', 'fox', 'jackal'], ['turtle', 'crocodile', 'fish'], []]
137	92	[['fox', 'hare'], [], [], [], []]
139	93	[[], [], []]
140	100	[[], ['dog', 'fox'], []]
141	101	[['sheep', 'child']]
143	102	[['dog', 'fox', 'jackal', 'hare'], [], ['wolf', 'lion', 'hyena']]
144	103	[[]]
145	103A	[]
146	103A*	[]
147	103B*	[]
148	103C*	[[], ['bear', 'lion', 'tiger']]
149	105	[]
150	105*	[['hawk', 'crane']]
152	106	[]
153	106*	[]
154	107	[[]]
155	110	[]
156	111	[]
157	111A	[['wolf', 'tiger', 'hyena']]
158	111A*	[]
159	112	[]
160	112*	[['mouse', 'rat']]
161	112**	[]
162	113	[]
163	113A	[[], ['man', 'dwarf'], [], ['pan', 'cat'], [], []]
164	113B	[[], [], ['mouce', 'rat']]
165	113*.	[]
166	115	[]
167	116	[]
168	117	[]
170	118	[[], ['wolf', 'bear']]
172	119B*	[[], []]
174	120	[[]]
175	121	[[], ['wolf', 'tiger'], ['man', 'hog'], [], []]
176	122	[[]]
177	122A	[['wolf', 'fox'], ['wolf', 'fox'], ['hog', 'sheep', 'horse'], []]
178	122B	[['rat', 'sparrow', 'squirrel']]
179	122C	[[], []]
180	122D	[[], ['hare', 'sheep', 'rooster', 'blackbird', 'fox'], ['wolf', 'fox', 'lion']]
181	122E	[[]]
182	122F	[['hog', 'sheep', 'dog'], []]
183	122G	[[], [], ['wolf', 'jackal', 'fox'], ['piglet', 'crab', 'fish'], []]
184	122H	[]
186	122Z	[['wolf', 'fox']]
187	122B*	[]
188	122D*	[]
189	122K*	[[], ['ram', 'goat']]
190	122L*	[]
