id	atu_id	animals
1	1	fish, fox, man, wolf, bear, jackal, hare, hyena, coyote, rabbit
4	2	fish, men, fox, wolf, bear, dog
5	2A	jackal, wolf, men, fox
6	2B	fish, wolf, fox
8	2D	bear, wolf, fox
9	3	bear, wolf, fox
10	3*	fox, lamb, wolf, chicken, bear, dog, hen
11	4	dog, bear, wolf, fox
12	5	heron, fox, wolf, bear, turtle, tiger, dog
13	6	crow, fox, sheep, wolf, jackal, hyena, chicken, bird
14	6*	fox, wolf, goose, chicken
15	7	bear, wolf, fox, man
16	8	lion, fox, man, wolf, rabbit, jackal, goat, turtle, bear, possum, bird, ogre
17	8*	horse, bear, reindeer, fox
18	9	crab, fox, wolf, jackal, monkey, bear, hedgehog, bird
20	10***	bear, wolf, fox, man, devil
21	15	fox, wolf, jackal, bear, cat, mouse
22	15*	wolf, fox
25	20A	rooster, fox, wolf, hog, goat, hare, mouse, bear, cat, hen
26	20C	rooster, fox, dog, wolf, goose, hare, chicken, bear, cat, mouse
27	20D*	rooster, fox, cock, magpie, partridge, duck, lark, goose, sparrow, chicken
28	21	fox, wolf, bear, hog, tiger
30	23*	bear, wolf, fox, man
31	30	lion, fox, wolf, jackal, hare, pig, hedgehog
32	31	goat, bear, wolf, fox
33	32	men, fox, wolf, jackal, hare, hedgehog
34	33	fox
37	34	sheep, fox, wolf, hyena, monkey
38	34A	dog
40	34C	monkey
41	35A*	wolf, fox
42	35B*	wolf, fox
43	36	fox, wolf, lioness, hare, bear
44	37	gosling, fox, sheep, wolf, goose, hare, ox, hyena, bear
46	38	tiger, bear, fox, man
48	40A*	wolf, fox
50	41	fox, polecat, wolf, antelope, jackal, hedgehog, hyena, weasel, cat
52	43	sheep, fox, wolf, hare, goat, bear
53	44	sheep, fox, wolf, hedgehog, dog
55	47A	fox, donkey, horse, wolf, hare, monkey, bear, dog
56	47B	lion, fox, donkey, camel, horse, wolf, jackal, foal, mule
57	47D	fox, horse, wolf, jackal, hare, cat, bear, dog
59	48*	fox, wolf, monkey, bear, siren
60	49	wasp, bear, hyena, fox
61	49A	lion, fox, wasp, bear, hare, snake, monkey, coyote, tiger, deer
62	50	lion, fox, wolf, jackal, hyena, coyote, bear, tiger, lynx
63	50A	lion, fox
64	50B	donkey, lion, fox
65	50C	donkey, bear, lion, ox
66	51	lion, fox, donkey, wolf, jackal, tiger, dog, panther
67	51A	lion, wolf, fox, monkey
68	51***	cat, fox, monkey
69	52	lion, fox, ram, donkey, camel, wolf, bear, jackal, tiger, deer, hedgehog
70	53	chicken, fox, man
71	53*	lion, hare, frog, fox
72	55	crab, snake, bird, raven, swallow, mouse, mole, oriole
73	56	magpie, fox
74	56A	woodpecker, dove, fox, crow, thrush, magpie, chick, jackal, nightingale, bird
75	56B	crocodile, woodpecker, dove, fox, magpie, wolf, jackal, leopard, hyena, hen, dog, bird
77	56D	fox, duck, jackal, sparrow, heron, bird, flamingo
78	56A*	crow, fox, bird, cat, hen
82	57	raven, crow, fox, bird
83	58	crocodile, men, fox, camel, jackal, monkey, rabbit
84	59	fox, donkey, jackal, bear, cat
85	59*	lion, fox, bull, jackal, eagle, hog, tiger, cat
86	60	heron, woodpecker, stork, fox, crow, wolf, crane, jackal, snipe, cat
87	61	rooster, fox, partridge, bird
89	61B	rooster, fox, man, cock, chicken, cat
90	62	rooster, fish, dove, fox, titmouse, jackal, bird, dog, swallow
91	62A	dog, goat, wolf, sheep, shepherd
92	62*	goose, dog, fox
93	63	jackal, flea, fox
95	65	lion, fox, wolf, hare, bear, stag, dog
96	65*	beetle, fox
97	66A	crocodile, jackal, monkey
98	66B	jackal, rabbit, crocodile, fox
100	66A*	fox
101	67	fox
102	67**	fox, man
103	67A*	gosling, fox, antelope, chicken, dog, leopard
104	68	jackal, gopher, elephant, hyena
105	68A	human, fox
107	68*	crow, fox, magpie, bird, raven, swallow
109	70	fish, hare, frog, duck
110	71	sparrow, hare, fox
111	72	alligator, fox, elephant, rabbit, wolf, horse, jackal, hare, jaguar, hyena, tiger, tortoise, woman
112	72*	hare
113	72B*	hare, fox
115	72D*	hare, rabbit
116	73	rabbit, fox
117	74C*	crab, wolf, monkey, coyote, rabbit
119	75	lion, elephant, bear, lioness, rat, squirrel, tiger, cat, mouse
120	75A	lion, worm, bear, beetle
121	75*	tiger, wolf
122	76	lion, woodpecker, stork, wolf, crane
123	77	lion, stag, dog, hunter
124	77*	sheep, horse, wolf, hog, cow
125	77**	lamb, wolf, sheep
126	78	fox, donkey, wolf, goat, monkey, tiger, human, leopard
127	78A	fox, rabbit, monkey, coyote, tiger, giant
128	80	puppy, badger, fox, man, camel, hare, snake, bitch, hedgehog, mole
129	80A*	badger, dove, fox, donkey, camel, wolf, crane, bear
130	81	lark, hare, dog, grouse
131	85	mouse, shrimp, chicken, dog, bird
132	87A*	pig, bear, wolf, man
133	88*	bear
134	90	squirrel, stag, ox, elk
135	91	monkey, crocodile, fish, fox, jackal, turtle, rabbit, cat
137	92	lion, hare, elephant, fox
139	93	fox, bird, farmer
140	100	fox, wolf, dog
141	101	wolf, sheep, dog, farmer, child
143	102	lion, fox, sheep, wolf, jackal, hare, hog, hyena, cow, dog
144	103	rooster, fox, wolf, dog, boar, bear, cat
145	103A	cat, fox
146	103A*	crow, fox, cat
147	103B*	stag, cat
148	103C*	lion, fox, donkey, wolf, bear, tiger
149	105	fox, dog, cat
150	105*	hawk, fox, crane, hedgehog
152	106	
153	106*	sow, wolf, hog, piglet, bear
154	107	wolf, dog
155	110	cat, mouse
156	111	cat, mouse
157	111A	lamb, tiger, wolf, hyena
158	111A*	cat, mouse
159	112	cat, mouse
160	112*	rat, mouse
161	112**	rooster, cat, mouse
162	113	cat, mouse
163	113A	pan, cat, man, dwarf
164	113B	mouse, rat, cat, man
165	113*.	cat, mouse
166	115	fox, ram
167	116	bear, horse
168	117	bear, horse
170	118	lion, bear, horse, wolf
172	119B*	lion, bull, horse, wolf, foal
174	120	hog, human, fox
175	121	hog, tiger, wolf, man
176	122	wolf
177	122A	sheep, fox, horse, wolf, hog
178	122B	squirrel, sparrow, rat, cat
179	122C	dog, wolf, sheep
180	122D	rooster, lion, fox, sheep, wolf, hare, blackbird
181	122E	goat, wolf
182	122F	hog, dog, wolf, sheep
