id	atu_id	category
1	1	wild
4	2	wild
5	2A	wild
6	2B	wild
8	2D	wild
9	3	wild
10	3*	wild
11	4	wild
12	5	wild
13	6	wild
14	6*	wild
15	7	wild
16	8	wild
17	8*	wild
18	9	wild
20	10***	wild
21	15	wild
22	15*	wild
25	20A	wild
26	20C	wild
27	20D*	wild
28	21	wild
30	23*	wild
31	30	wild
32	31	wild
33	32	wild
34	33	wild
37	34	wild
38	34A	wild
40	34C	wild
41	35A*	wild
42	35B*	wild
43	36	wild
44	37	wild
46	38	wild
48	40A*	wild
50	41	wild
52	43	wild
53	44	wild
55	47A	wild
56	47B	wild
57	47D	wild
59	48*	wild
60	49	wild
61	49A	wild
62	50	wild
63	50A	wild
64	50B	wild
65	50C	wild
66	51	wild
67	51A	wild
68	51***	wild
69	52	wild
70	53	wild
71	53*	wild
72	55	wild
73	56	wild
74	56A	wild
75	56B	wild
77	56D	wild
78	56A*	wild
82	57	wild
83	58	wild
84	59	wild
85	59*	wild
86	60	wild
87	61	wild
89	61B	wild
90	62	wild
91	62A	wild
92	62*	wild
93	63	wild
95	65	wild
96	65*	wild
97	66A	wild
98	66B	wild
100	66A*	wild
101	67	wild
102	67**	wild
103	67A*	wild
104	68	wild
105	68A	wild
107	68*	wild
109	70	wild
110	71	wild
111	72	wild
112	72*	wild
113	72B*	wild
115	72D*	wild
116	73	wild
117	74C*	wild
119	75	wild
120	75A	wild
121	75*	wild
122	76	wild
123	77	wild
124	77*	wild
125	77**	wild
126	78	wild
127	78A	wild
128	80	wild
129	80A*	wild
130	81	wild
131	85	wild
132	87A*	wild
133	88*	wild
134	90	wild
135	91	wild
137	92	wild
139	93	wild
140	100	wild_and_domestic
141	101	wild_and_domestic
143	102	wild_and_domestic
144	103	wild_and_domestic
145	103A	wild_and_domestic
146	103A*	wild_and_domestic
147	103B*	wild_and_domestic
148	103C*	wild_and_domestic
149	105	wild_and_domestic
150	105*	wild_and_domestic
152	106	wild_and_domestic
153	106*	wild_and_domestic
154	107	wild_and_domestic
155	110	wild_and_domestic
156	111	wild_and_domestic
157	111A	wild_and_domestic
158	111A*	wild_and_domestic
159	112	wild_and_domestic
160	112*	wild_and_domestic
161	112**	wild_and_domestic
162	113	wild_and_domestic
163	113A	wild_and_domestic
164	113B	wild_and_domestic
165	113*.	wild_and_domestic
166	115	wild_and_domestic
167	116	wild_and_domestic
168	117	wild_and_domestic
170	118	wild_and_domestic
172	119B*	wild_and_domestic
174	120	wild_and_domestic
175	121	wild_and_domestic
176	122	wild_and_domestic
177	122A	wild_and_domestic
178	122B	wild_and_domestic
179	122C	wild_and_domestic
180	122D	wild_and_domestic
181	122E	wild_and_domestic
182	122F	wild_and_domestic
183	122G	wild_and_domestic
184	122H	wild_and_domestic
186	122Z	wild_and_domestic
187	122B*	wild_and_domestic
188	122D*	wild_and_domestic
189	122K*	wild_and_domestic
190	122L*	wild_and_domestic
191	122M*	wild_and_domestic
192	122N*	wild_and_domestic
193	123	wild_and_domestic
194	123A	wild_and_domestic
195	123B	wild_and_domestic
196	124	wild_and_domestic
198	125	wild_and_domestic
199	125B*	wild_and_domestic
202	126	wild_and_domestic
203	126A*	wild_and_domestic
205	127A*	wild_and_domestic
206	127B*	wild_and_domestic
207	129	wild_and_domestic
208	129A*	wild_and_domestic
209	130	wild_and_domestic
210	130A	wild_and_domestic
211	130B	wild_and_domestic
212	130C	wild_and_domestic
213	130D*	wild_and_domestic
214	131	wild_and_domestic
215	132	wild_and_domestic
216	133*	wild_and_domestic
217	135*	wild_and_domestic
218	135A*	wild_and_domestic
219	136	wild_and_domestic
220	136A*	wild_and_domestic
221	137	wild_and_domestic
222	150	wild_and_human
223	150A*	wild_and_human
224	151	wild_and_human
225	151*	wild_and_human
226	152	wild_and_human
227	152A*	wild_and_human
229	153	wild_and_human
230	154	wild_and_human
231	155	wild_and_human
232	156	wild_and_human
233	156A	wild_and_human
236	156B*	wild_and_human
237	156C*	wild_and_human
238	157	wild_and_human
239	157A	wild_and_human
240	157B	wild_and_human
241	157C*	wild_and_human
242	158	wild_and_human
243	159	wild_and_human
244	159A	wild_and_human
245	159B	wild_and_human
246	159C	wild_and_human
247	159*	wild_and_human
248	160	wild_and_human
250	160*	wild_and_human
255	161	wild_and_human
256	161B	wild_and_human
258	162	wild_and_human
260	162A*	wild_and_human
261	163	wild_and_human
265	165	wild_and_human
266	165B*	wild_and_human
267	166A*	wild_and_human
268	166B*	wild_and_human
272	168	wild_and_human
273	168A	wild_and_human
274	169*	wild_and_human
279	169K*	wild_and_human
280	169L*	wild_and_human
281	170	wild_and_human
283	171A*	wild_and_human
285	173	wild_and_human
286	175	wild_and_human
287	177	wild_and_human
288	178	wild_and_human
289	178A	wild_and_human
290	178B	wild_and_human
291	178C	wild_and_human
292	179	wild_and_human
293	179*	wild_and_human
294	179A*	wild_and_human
295	179A**	wild_and_human
296	179B*	wild_and_human
297	180	wild_and_human
298	181	wild_and_human
299	182	wild_and_human
300	183*	wild_and_human
301	184	wild_and_human
302	185	wild_and_human
303	186	wild_and_human
304	200	domestic
305	200A	domestic
306	200B	domestic
307	200C*	domestic
308	200D*	domestic
309	201	domestic
310	201D*	domestic
311	201F*	domestic
312	201G*	domestic
313	202	domestic
314	203	domestic
315	204	domestic
316	206	domestic
317	207	domestic
318	207A	domestic
319	207B.	domestic
320	207C	domestic
321	207A*	domestic
322	209	domestic
323	210	domestic
324	210*	domestic
325	211	domestic
326	211B*	domestic
327	212	domestic
328	214	domestic
329	214A	domestic
330	214B	domestic
331	214*	domestic
332	215	domestic
333	217	domestic
335	218	domestic
336	219E*	domestic
337	219E**	domestic
338	219F*	domestic
339	219H*	domestic
340	220	others
341	220A	others
342	221	others
343	221A	others
344	221B	others
345	222	others
346	222A	others
347	222B	others
349	223	others
350	224	others
352	225	others
353	225A	others
354	226	others
355	227	others
356	227*	others
357	228	others
358	229	others
359	230	others
360	230*	others
361	231	others
362	231*	others
363	231**	others
364	232	others
365	232C*	others
366	232D*	others
367	233A	others
368	233B	others
369	233C	others
370	233D	others
371	234	others
372	234A*	others
373	235	others
375	235C*	others
376	236	others
377	236*	others
378	237	others
379	238	others
380	239	others
381	240	others
383	240A*	others
384	241	others
385	242	others
387	243A	others
388	243*	others
389	244	others
392	244A*	others
393	244B*	others
394	244C*	others
395	245	others
397	246	others
398	247	others
399	248	others
400	248A	others
402	250	others
403	250A	others
404	253	others
406	275	others
407	275A	others
408	275B	others
409	275C	others
411	275C*	others
412	276	others
413	277	others
414	277A	others
415	278	others
416	278A	others
417	278A*	others
419	279*	others
420	280	others
421	280A	others
422	281	others
424	282A*	others
425	282B*	others
426	282C*	others
427	282D*	others
428	283	others
430	283B*	others
431	283D*	others
432	283H*	others
433	285	others
434	285A	others
435	285B	others
437	285E	others
438	285A*	others
439	285B*	others
440	288B*	others
441	288B**	others
442	288C*	others
443	289	others
444	291	others
445	292	others
446	293	others
447	293B*	others
448	293C*	others
449	293D*	others
450	293E*	others
452	293G*	others
453	294	others
454	295	others
455	296	others
456	297B	others
457	298	others
458	298A	others
459	298A*	others
461	298C*	others
462	299	others
