id	#	motif
1	1	K371.1,K341.2,K341.2.1,K1026
4	2	K1021
5	2A	K1021.1,J758.1,J341.1
6	2B	K1021.2
9	3	K473,K522.1,cf.K1875
10	3*	K1022.3
11	4	K1241,K1818
12	5	K543
13	6	K561.1
14	6*	K561.1
15	7	N51
16	8	K1013.2,A2317.12,K1013
18	9	K1251.1,K171.1,K171.2,K471
20	10***	K891.5.1,K891.5.2
21	15	K372,K401.1
22	15*	K341
25	20A	B296,K1024
26	20C	Z43.3,J1812
27	20D*	B296.1,K2027,K2285
28	21	K1025,K1025.1
32	31	K652
33	32	K651
34	33	K522
37	34	J1791.3
38	34A	J1791.4
40	34C	J344.1
41	35A*	K331
42	35B*	K1115.1
43	36	K1384,K521.3
44	37	K931,K934
46	38	K1111
48	40A*	K1114,K1022.4
50	41	K1022.1
52	43	J741.1
53	44	K1115
55	47A	K1022.2,K1047,A2211.2,A2342.1
56	47B	J954.1,K566,K1121,K1955,K1121.1,J1608,K551.18
59	48*	J815.1
60	49	K1023
61	49A	K1056,J1761.6,K1023.1,K1023.5
62	50	K961.2,K961
63	50A	J644.1
64	50B	K1632
65	50C	W121.2.1
66	51	J811.1,J811.1.1
67	51A	J811.2
68	51***	K815.7,K452
69	52	K402.3
70	53	J864.2,cf.K2055
71	53*	U113
72	55	A2233.1,A2233.1.2,A2233.1.3,Q321
74	56A	K1788,K751,cf.K827.4
75	56B	K1822.2,K811,K931.1,K911
77	56D	K827.1
78	56A*	K827.4,K911,K828.2
82	57	K334.1,cf.A2426.2.6
83	58	B555,K579.2
84	59	J871,J2066.1
85	59*	K2131.2,K2131.1
86	60	J1565.1
87	61	K721,K815.1,K561.1
89	61B	K815.15
90	62	J1421,K579.8,K815.1.1
91	62A	K2010.3,K191
93	63	K921
95	65	N681,T211.6
97	66A	K607.1,K1722
98	66B	K1860,K607.2.1,K607.3
101	67	J873
102	67**	K634.1,K542.1
103	67A*	K526
104	68	cf.F929.1,K565.2,K1022.1.1,K952.1.1,J2136.6.1
105	68A	J2131.5.7
107	68*	J655.2,J655.1,J652.2
109	70	J881.1,A2342.1
110	71	H1541.1,A2342.1
111	72	K1241,K1241.1
112	72*	cf.J61
116	73	K621
119	75	B371.1,B363,B437.2,J426,cf.B545.1
120	75A	B491.4
121	75*	J2066.5
122	76	W154.3
123	77	L461
124	77*	K2055,U125
126	78	K713.1.2
127	78A	K713.1.1
129	80A*	J1451,J841.1
130	81	A2233.2.1
131	85	J512.7
132	87A*	B855
134	90	L391
135	91	K544,K961.1
137	92	K1715.1,K1716
139	93	J1031
140	100	J581.1
141	101	K231.1.3
143	102	K254.1
144	103	B262,K2323,K2324
145	103A	B281.9.1
149	105	J1662
150	105*	K522
154	107	J1023
155	110	J671.1
156	111	K561.1.1
157	111A	U31
159	112	U211.2
161	112**	U132
163	113A	B342
164	113B	K815.13,cf.K815.7
166	115	J2066.1
167	116	J1762.2
168	117	J2187
170	118	J2351.4
172	119B*	J1022
174	120	K52.1
175	121	J2133.6
176	122	K550
177	122A	K551.8,K551.3.4,K551.1
178	122B	K562
179	122C	K561.2
180	122D	K553.1
181	122E	K553.2
182	122F	K553
183	122G	K553.5
184	122H	K551.12
187	122B*	K562.1
189	122K*	K579.5.1
193	123	K1832,K311.3,K1839.1,F913,Q426,J144
195	123B	K828.1,K934
196	124	Z81,J2133.7,cf.K891.1
198	125	K1715.3
202	126	K1715
205	127A*	K815,K2061.4
206	127B*	J2136.3
207	129	J624.1
208	129A*	J1909.5
209	130	B296,N776,K335.1.4,K1161
214	131	J427
215	132	K1775
216	133*	U124,K952.1
217	135*	B295.1
218	135A*	J864.1
219	136	K1043
220	136A*	M114
222	150	J21.14,J21.12,J21.13,K604
223	150A*	K604,A2356.2.1
224	151	K1111.0.1
225	151*	J642.1
226	152	K1013.3,J2211
229	153	K1012.1,K241
230	154	C25,K235,J2351.1,U242.1
231	155	W154.2.1,J1172.3
232	156	B381,B382
233	156A	B301.8
238	157	J17,J32
239	157A	J122.1,K1111
240	157B	J13
242	158	B831
243	159	B278
245	159B	W185.6
246	159C	J1454
247	159*	B392
248	160	W154.8,B361,B522.1,B522.2,B512
250	160*	K525
255	161	K2315
258	162	J1032,cf.J582.1
261	163	Z33.4.2
265	165	K2055.1,cf.U236
266	165B*	K583
272	168	K551.3.1,B848.1
273	168A	K735
281	170	K443.7
285	173	A1321
286	175	K741,K581.2
287	177	J2132.4,cf.N691.1.2,N392
289	178A	B331.2,B331.2.1
290	178B	B579.6,B331.2.2
291	178C	B331.1.1
292	179	J1488
297	180	J514.2
298	181	J411.10,K1715.5
299	182	B478,B511.1.3
300	183*	K571.1
301	184	J1551.9
302	185	B786
303	186	J369.2
304	200	A2281.1,A2494.1.1
305	200A	A2275.5.5,cf.A2471.1
306	200B	A2232.8,Q433.3
307	200C*	cf.A2494.4.4
309	201	L451.2,L451.3,J212.1,cf.J211
310	201D*	K2062,cf.B325.1
311	201F*	J145
312	201G*	J874
313	202	W167.1,J33.1
314	203	J2228
315	204	J1711.1,A2426
316	206	cf.J2362
317	207	K1633
319	207B.	W155.1
320	207C	B271.3
322	209	cf.J215
323	210	B296,F1025,K1161
325	211	J1612,K25.2
327	212	K1151,Q488.1
