Source	Target	Weight
fox	wolf	67
bear	wolf	47
bear	fox	44
*bird	*bird	37
fox	rabbit	36
fox	jackal	32
fox	human	32
sheep	wolf	31
human	wolf	31
*bird	fox	31
*bird	crow	30
bear	human	26
chicken	fox	25
dog	fox	23
rabbit	wolf	22
dog	wolf	22
fox	lion	22
cat	mouse	21
pig	wolf	20
lion	wolf	20
jackal	wolf	20
*bird	chicken	20
bear	lion	19
dog	human	19
*small animal	fox	19
goat	wolf	18
human	human	18
*bird	*bug	18
tiger	wolf	17
*bird	wolf	17
human	lion	17
*bird	jackal	17
*bird	human	17
cat	fox	17
bear	rabbit	16
human	snake	15
fox	sheep	15
jackal	rabbit	15
donkey	lion	14
fox	horse	14
chicken	chicken	14
horse	wolf	13
fox	tiger	13
bear	tiger	13
donkey	fox	13
chicken	dog	13
cat	chicken	13
donkey	wolf	12
chicken	wolf	12
human	tiger	12
*bird	mouse	12
*bird	magpie	12
fox	goose	12
*bird	dove	12
cat	dog	12
cat	wolf	11
*small animal	wolf	11
lion	tiger	11
lion	rabbit	11
*bird	owl	11
fox	monkey	11
*small animal	jackal	11
horse	human	11
*supernatural	human	11
fox	goat	11
hyena	wolf	10
*bird	turtle	10
human	rabbit	10
dog	rabbit	10
fox	pig	10
chicken	mouse	10
human	monkey	10
fox	hyena	10
donkey	human	10
chicken	human	10
*small animal	human	10
donkey	horse	10
bear	horse	10
crow	fox	10
*bird	eagle	10
bear	dog	10
goose	wolf	9
goat	sheep	9
cat	human	9
chicken	goose	9
dog	donkey	9
*bird	dog	9
bear	cat	9
cattle	wolf	8
fox	turtle	8
*bird	swallow	8
dog	sheep	8
chicken	sheep	8
*small animal	rabbit	8
bear	pig	8
jackal	lion	8
*bird	lark	8
hyena	jackal	8
human	jackal	8
bear	jackal	8
*fish	fox	8
*bug	*bug	8
monkey	wolf	7
rabbit	turtle	7
*bird	sparrow	7
human	sheep	7
bear	sheep	7
horse	rabbit	7
horse	lion	7
crocodile	jackal	7
cat	jackal	7
*vermin	human	7
bear	goose	7
cat	goat	7
bear	goat	7
*bird	frog	7
crocodile	fox	7
*small animal	dog	7
bear	chicken	7
*small animal	*small animal	7
*bird	*small animal	7
*fish	*fish	7
*bird	wren	6
*fish	wolf	6
jackal	turtle	6
rabbit	sheep	6
pig	sheep	6
monkey	rabbit	6
hyena	rabbit	6
goose	rabbit	6
*fish	rabbit	6
pig	pig	6
dog	pig	6
*fish	pig	6
mouse	mouse	6
dog	mouse	6
bear	mouse	6
crow	magpie	6
chicken	magpie	6
dog	lion	6
dog	jackal	6
*fish	jackal	6
cattle	horse	6
*bird	heron	6
cattle	fox	6
camel	fox	6
*big cat	fox	6
chicken	duck	6
camel	donkey	6
bear	donkey	6
*small animal	cat	6
*small animal	bear	6
*bird	bear	6
*bird	*raptores	6
turtle	wolf	5
*big cat	wolf	5
sheep	tiger	5
monkey	tiger	5
jackal	tiger	5
donkey	tiger	5
*big cat	tiger	5
crane	stork	5
*small animal	snake	5
hyena	sheep	5
cattle	sheep	5
donkey	rabbit	5
crocodile	rabbit	5
coyote	rabbit	5
chicken	rabbit	5
cat	rabbit	5
jackal	pig	5
goose	pig	5
human	mouse	5
frog	mouse	5
*small animal	mouse	5
bear	monkey	5
fox	magpie	5
deer	lion	5
cattle	lion	5
*small animal	lion	5
*bug	lion	5
*bird	lion	5
donkey	jackal	5
goat	human	5
duck	goose	5
chicken	goat	5
*small animal	goat	5
*bug	frog	5
dove	fox	5
*bug	fox	5
*bird	duck	5
crow	dove	5
donkey	donkey	5
cat	donkey	5
chicken	crow	5
*bird	cattle	5
*small animal	camel	5
*bug	ant	5
*bird	ant	5
*bug	*vermin	5
*bird	*fish	5
mouse	wolf	4
crow	wolf	4
crane	wolf	4
human	turtle	4
*fish	turtle	4
*bug	turtle	4
rabbit	tiger	4
crow	swallow	4
*bird	stork	4
fox	snake	4
horse	sheep	4
goose	sheep	4
cat	sheep	4
rabbit	rabbit	4
goat	rabbit	4
elephant	rabbit	4
