index	category_name	freq	desc
A1200-A1699	creation and ordering of human life	1	A1321: Men and animals readjust span of life.
A1700-A2199	creation of animal life	2	A1952: Creation of hoopoe.; A1965.2: Bittern from transformed shepherd.
A2200-A2599	animal characteristics	30	A2211.2: Rabbit laughs: cause of hare-lip.; A2214.5.1: Tortoise dropped by eagle: hence cracks in his shell.; A2231.1.2: Discourteous answer: flounder’s crooked mouth.; A2232.8: Dog‘s embassy to Zeus chased forth; dogs seek ambassador: why dogs sniff each other under leg.; A2233.1.2: Snake refuses to help make road: dies on road.; A2233.1.3: Shrew refuses to help make road: dies on road.; A2233.1: Animals refuse to help dig well (make road) and are punished.; A2233.2.1: Too cold for hare (dog) to build house in winter, not necessary in summer: must go without house.; A2233.3: Owl as watchman goes to sleep: does not see by day.; A2241.5: Nightingale borrows blindworm‘s eye.; A2241: Animal characteristics: borrowing and not returning.; A2247.4: Dove and magpie exchange eggs--dove‘s seven for magpie’s two: why dove has two eggs.; A2250.1: Cock and ptarmigan in contest: winner to live in town.; A2251.1: Ant carries load as heavy as himself.; A2252.4: Flounder complains in race: crooked mouth.; A2271.1: Thrush teaches dove to build nest.; A2275.5.3: Bat, diver, and thornbush shipwrecked.; A2275.5.5: Dog loses his patent right; seeks it: why dogs look at one another under the tail.; A2281.1: Cat loses dog’s certificate: enmity between cats and dogs.; A2313.1: Origin of cuckoo’s feathers.; A2317.12: Why opossum has bare tail.; A2332.1.2: How fly got his eyes.; A2342.1: Why hare’s lip is split.; A2356.2.1: Why frog has hunchback.; A2426: Nature and meaning of animal cries.; A2491.1: Why bat flies by night.; A2494.1.1: Enmity between cat and mouse.
A2700-A2799	origin of plant characteristics.	2	A2741.1: Bean laughs till it splits: cause of black stripe.; A2793.1: Why bean has black stripe.
B100-B199	magic animals.	1	B103.0.4.1: Grateful snake gives gold piece daily.
B200-B299	animals with human traits.	17	B236.0.1: Animal king chosen as result of a contest.; B236.1: Election of king of birds.; B238.1: Bird council assigns place and work to all.; B242.1.2: Wren king of birds.; B261.1: Bat in war of birds and quadrupeds.; B261: War of birds and quadrupeds.; B262: War between domestic and wild animals.; B271.3: Animals ring bell and demand justice.; B275.4: Animal’s revenge for being criticized by a bird: nest destroyed.; B278: Captured animal ransoms self.; B281.9.1: The cat as vixen‘s husband.; B282ff.: Bird wedding.; B295.1: Mouse makes boat of bread-crust.; B296.1: Animal journeys to Rome.; B296: Animals go a-journeying.
B300-B599	friendly animals	26	B301.8: Faithful lion follows man who saved him.; B331.1.1: Faithful horse killed through misunderstanding.; B331.2.1: Woman slays faithful mongoose which has saved her child.; B331.2.2: Faithful dog killed by overhasty master: thinks mistakenly he has returned home against orders.; B331.2: Llewellyn and his dog.; B335.1: Man attempts to kill faithful serpent at wife’s instigation.; B342: Cat leaves house when report is made of death of one of his companions.; B361: Animals grateful for rescue from pit.; B362: Animal grateful for rescue from drowning.; B363: Animal grateful for rescue from net.; B371.1: Lion spared mouse: mouse grateful.; B381: Thorn removed from lion‘s paw (Androcles and the Lion).; B382: Animal grateful for removal of bone lodged in its throat.; B391.1: Child feeds snake from its milk-bottle.; B392: Hero divides spoil for animals.; B437.2: Helpful mouse.; B457.1: Helpful dove.; B478: (*missing motif index); B481.1: Helpful ant.; B491.4: Helpful worm.; B511.1.3: Helpful hedgehog forces snake to suck out poison from bitten raja.; B512: Medicine shown by animal.; B522.1: Serpent shows condemned man how to save prince’s life.; B522.2: Kite steals jewels and thus saves condemned man.; B555: Animals serve as bridge across stream.; B579.6: Faithful dog is offered as security for a debt.
B700-B799	fanciful traits of animals.	3	B765.6: Snake eats milk and bread with child.; B784.2.1.1: Snake (frog) in human body enticed out by milk (water).; B786: Monkeys always copy men.
B800-B899	miscellaneous animal motifs.	3	B831: Animals try in vain to repair sleigh.; B848.1: The musician in the wolf-trap: meets wolf already trapped, and saves himself by playing music.; B855: Man and bear in the rick of hay.
C0-C99	tabu connected with supernatural beings.	1	C25: “Bear’s food.”
D800-D1699	magic objects	1	D876: Magic treasure animal killed.
F900-F1099	extraordinary occurrences.	3	F1025.1: Bean, straw, and coal go journeying.; F1025: Objects go journeying together.; F913: Victims rescued from swallower‘s belly.
H1400-H1599	other tests	1	H1541.1: Contest in enduring cold: frost and the hare.
J0-J199	acquisition and possession of wisdom (knowledge).	12	J101: Crow drops pebbles into water jug so as to be able to drink.; J122.1: Seducer about to seduce mother of child refrains when child wisely remarks that he is sad because his father has left his mother exposed to such dangers.; J13: Young sparrows have learned to avoid men.; J144: Well-trained kid does not open to wolf.; J145: Hostile dogs made friendly by having them fight common enemy, the wolf.; J15: Serpent (bird) having injured man refuses reconciliation.; J17: Animal learns through experience to fear men.; J21.12: ”Rue not a thing that is past“:; J21.13: ”Never believe what is beyond belief“:; J21.14: ”Never try to reach the unattainable“:; J32: Arrow as man‘s message shows lion how terrible man himself must be.; J33.1: (*missing motif index)
J1100-J1699	cleverness	10	J1172.3: Ungrateful animal returned to captivity.; J1421: Peace among the animals.; J1451: Who gets the beehive.; J1454: The lion and the statue.; J1488: What the bear whispered in his ear.; J1551.9: Half of money thrown into tank.; J1565.1: Fox and crane invite each other.; J1608: Ass’s charter in his hoof.; J1612: The lazy ass repaid in kind.; J1662: The cat’s only trick.
J1700-J2799	fools (and other unwise persons)	32	J1711.1: Animals helpless in sea-voyage together.; J1761.6: Snake thought to be flute.; J1762.2: Bear on haywagon (on horse) thought to be the preacher.; J1791.3: Diving for cheese.; J1791.4: Dog drops his meat for the reflection.; J1812: Other sounds misunderstood.; J1908.1: The cat and the candle.; J1908.2: Cat transformed to maiden runs after mouse.; J1909.5: Sheep licking her lamb is envied by the wolf.; J2066.1: The hungry fox waits in vain for horse‘s scrotum (lips) to fall off.; J2066.5: Wolf waits in vain for the nurse to throw away the child.; J2129.3: Getting all the eggs at once.; J2131.5.7: Fox trying to drown jug.; J2132.4: Numskull rides on tiger‘s back.; J2133.1: Camel with ass on his back dances.; J2133.6: Wolves climb on top of one another to tree: lowest runs away and all fall.; J2133.7: Intruding wolf falls down chimney and kills himself.; J2136.3: Goat eats in garden and is caught.; J2136.6.1: Greedy jackal caught in carcass of dead bullock.; J2137.1: The louse invites the flea.; J2137.6: Camel and ass together captured because of ass’s singing.; J2187: The bear riding the horse lets his paws fall on the horse‘s flanks.; J2211.2: Why the sow was muddy.; J2211: Differences in animal nature overlooked.; J2228: Loss of eating contest because of weak legs.; J2351.1: Fox holds conversation with his members, attracts attention, and is caught.; J2351.4: Wolf (bear) boasts of having eaten horses.; J2357: Tortoise speaks and loses his hold on the stick.; J2413.1: Ass tries to caress his master like the dog.; J2413.3: Daw tries to carry off lamb like eagle.; J2616: The hawk frightened at the snipe’s bill.
