index	fox	wolf	human	bear	*bird	dog	rabbit	cat	lion	sheep	jackal	chicken	donkey	mouse	horse	crow	tiger	*small animal	goat	pig	monkey	snake	cattle	frog	*fish	goose	*bug	turtle	deer	hyena	eagle	*supernatural	*vermin	dove	crab	sparrow	magpie	bee	duck	crocodile	crane	*raptores	*big cat	fly	camel	ant	heron	elephant	*large animal	wren	crayfish	coyote	stork	swallow	lark	owl
A	5	3	4	4	15	8	6	3	1	1	1	3	3	6	2	5	0	5	2	1	3	1	3	2	3	2	1	2	0	0	1	2	2	3	1	2	2	0	2	0	0	0	0	1	0	1	1	0	0	1	0	0	0	2	1	1
B	8	8	23	15	11	7	3	10	12	0	1	5	3	8	4	5	8	4	1	2	6	13	1	2	0	2	3	1	1	0	2	2	1	3	0	1	1	3	2	1	0	1	0	0	1	4	0	3	1	3	1	0	0	0	2	1
C	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F	0	1	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
H	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J	39	27	28	19	19	15	7	11	17	9	11	10	15	8	12	10	9	7	6	5	8	8	5	8	5	8	6	3	3	2	3	2	3	3	4	1	4	1	2	0	5	2	2	2	6	2	4	2	1	0	0	1	2	4	0	1
K	115	86	38	43	36	29	34	20	21	21	49	30	15	8	12	12	16	18	19	12	17	3	7	6	13	10	3	11	4	18	4	3	3	11	6	4	9	7	5	14	2	5	9	3	6	1	2	7	3	3	2	7	1	2	3	2
L	0	1	6	1	3	1	0	0	3	0	0	0	1	0	4	0	1	1	0	0	1	0	3	0	2	0	3	0	2	0	1	1	3	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0
M	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N	2	2	5	2	1	3	1	1	1	1	0	1	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q	1	2	2	1	2	1	0	0	0	0	0	0	0	1	0	1	0	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
T	1	2	1	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
U	3	2	1	1	0	1	2	2	1	2	0	1	0	3	2	0	1	0	1	1	0	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
W	2	2	4	4	2	0	0	0	5	0	0	0	3	0	2	1	2	0	1	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Z	1	3	1	2	0	1	1	1	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
