	Wild	Wild and Domestic	Wild and Human	Domestic	Others
A	-0.030364324405272126	-0.07611595839220023	-0.0438578938760712	0.04888404160779977	0.10145413506574369
B	-0.06667102749551232	-0.04083360919485872	0.15523493919223802	-0.06895860919485872	0.021228306692991736
C	-0.0032258064516129032	-0.0032258064516129032	0.012903225806451613	-0.0032258064516129032	-0.0032258064516129032
D	-0.005	-0.005	-0.005	0.02	-0.005
F	-0.009994158878504673	0.005630841121495327	-0.009994158878504673	0.015005841121495328	-0.0006483644859813092
H	0.005228758169934641	-0.0013071895424836603	-0.0013071895424836603	-0.0013071895424836603	-0.0013071895424836603
J	-0.09881613164309033	-0.035805510728057655	-0.027236962340960902	0.17356948927194232	-0.011710884559833379
K	0.2593260493575382	0.15403601667779965	-0.05513737041897454	-0.21158898332220036	-0.14663571229416297
L	-0.016364913566672773	-0.029436808991509376	-0.029436808991509376	0.020563191008490626	0.0546753405412009
M	-0.003125	0.0125	-0.003125	-0.003125	-0.003125
N	0.0003683921312470327	0.002921496706410431	0.0034255289644749467	-0.012703503293589569	0.005988085491457159
Q	-0.009765400708570033	-0.0006763484209883347	-0.016301348420988335	0.03369865157901167	-0.006955554028464971
T	0.0033595992914299683	-0.0031763484209883326	-0.0031763484209883326	-0.0031763484209883326	0.006169445971535031
U	-0.009006607868752967	0.04042149670641043	-0.005949471035525053	-0.02207850329358957	-0.003386914508542841
W	-0.0110890618934741	-0.0241609573183107	0.024226139455882846	0.025839042681689302	-0.014815162925787337
X	-0.0018691588785046728	-0.0018691588785046728	-0.0018691588785046728	-0.0018691588785046728	0.007476635514018691
Z	-0.0029912071601829347	0.0060978451273987645	0.00660187738546328	-0.009527154872601236	-0.00018136048007787176
